StepNumber,Step,Unit,PartNumber,id,blend_item_code,trimmed_item_code,Unnamed: 4,Unnamed: 5
2,Verify that the final mix vessel and the kelzan mix vessel are both clean. ,,,2,57000.B,57000B,,
3,Apply GHS labels to the final mix vessel.,,,3,57000.B,57000B,,
4,Pour 200 gallons of water into the Kelzan mix vessel.,gal,WATER,4,57000.B,57000B,,
5,Start Kelzan agitator. ,,,5,57000.B,57000B,,
6,Add Kelzan AP-AS,lbs,030171,6,57000.B,57000B,,
7,Agitate Kelzan for 20 minutes.,,,7,57000.B,57000B,,
8,Verify that all powder is dissolved and product is clump free.,,,8,57000.B,57000B,,
9,Start agitator in main mix vessel. ,,,9,57000.B,57000B,,
10,Add the Kelzan mixture to the main mixing vessel. ,,,10,57000.B,57000B,,
11,Add phosphoric acid 75%,lbs,240079,11,57000.B,57000B,,
12,Using black wire locks; re-seal phosphoric acid tote.,,,12,57000.B,57000B,,
13,Add Dissovine GL 47,lbs,030019,13,57000.B,57000B,,
14,Add Preventol D7,lbs,030146P,14,57000.B,57000B,,
15,Add Suga Boost 050,lbs,031013,15,57000.B,57000B,,
16,Add Chromatint Red 1887,grams,050017,16,57000.B,57000B,,
17,Add Chromatint Blue Dye 0408,grams,030112,17,57000.B,57000B,,
18,Add the remaining water,gal,WATER,18,57000.B,57000B,,
19,Sample blend; label sample container; and deliver sample to QC Lab.,,,19,57000.B,57000B,,
20,Ensure that any agitators used have been turned off.,,,20,57000.B,57000B,,
21,Remove GHS labels from the mix vessel.,,,21,57000.B,57000B,,
22,7/15/22Changed from 0.75% Phosphoric acid to 1% Phosphoric Acid amnd BIT 20 to CMIT,,,22,57000.B,57000B,,
1,Gather the required materials.,,,1,57400.B,57400B,,
2,Verify that the final mix vessel and the kelzan mix vessel are both clean. ,,,2,57400.B,57400B,,
3,Apply GHS labels to the final mix vessel.,,,3,57400.B,57400B,,
4,Pour 200 gallons of water into the Kelzan mix vessel.,gal,WATER,4,57400.B,57400B,,
5,Agitate Kelzan for 60 minutes.,,,5,57400.B,57400B,,
6,Verify that all powder is dissolved and product is clump free.,,,6,57400.B,57400B,,
7,Charge the final mix vessel with the remaining water.,gal,WATER,7,57400.B,57400B,,
8,Start agitator of final mix vessel. ,,,8,57400.B,57400B,,
9,Add dissolved Kelzan to the main mixing vessel. ,,,9,57400.B,57400B,,
10,Verify that there are no clumps in the mixture.,,,10,57400.B,57400B,,
11,Add Oxalic Acid.,lbs,030025,11,57400.B,57400B,,
12,Agitate for 10 minutes.,,,12,57400.B,57400B,,
13,Add Glycolic Acid ,lbs,030151,13,57400.B,57400B,,
14,Using black wire locks; re-seal glycolic acid tote.,,,14,57400.B,57400B,,
15,Add AOS 40,lbs,030152,15,57400.B,57400B,,
16,Add Busan 1264,lbs,030146,16,57400.B,57400B,,
17,Agitate for 30 minutes.,,,17,57400.B,57400B,,
18,Sample blend; label sample container; and deliver sample to QC Lab.,,,18,57400.B,57400B,,
19,Ensure that any agitators used have been turned off.,,,19,57400.B,57400B,,
20,Remove GHS label from the mix vessel.,,,20,57400.B,57400B,,
1,Gather the required materials.,,,1,57700.B,57700B,,
2,Verify that the vessel is clean. ,,,2,57700.B,57700B,,
3,Apply GHS labels to the mix vessel.,,,3,57700.B,57700B,,
4,Charge vessel with water.,gal,WATER,4,57700.B,57700B,,
5,Start agitator.,,,5,57700.B,57700B,,
6,TKPP,lbs,030039,6,57700.B,57700B,,
7,Agitate for 5 minutes. ,,,7,57700.B,57700B,,
8,Add Potassium hydroxide,lbs,240077,8,57700.B,57700B,,
9,Add Dissolvine/Hampene/Versene EDTA,lbs,030019,9,57700.B,57700B,,
10,Add Glycol Ether EB,lbs,030012,10,57700.B,57700B,,
11,Add IPA,lbs,030018,11,57700.B,57700B,,
12,Add Glucopon 425N,lbs,030130,12,57700.B,57700B,,
13,Agitate for 20 minutes.,,,13,57700.B,57700B,,
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,14,57700.B,57700B,,
15,Ensure that any agitators used have been turned off.,,,15,57700.B,57700B,,
16,Remove GHS labels from the mix vessel.,,,16,57700.B,57700B,,
1,Gather the required materials.,,,1,58000.B,58000B,,
2,Verify that the vessel is clean. ,,,2,58000.B,58000B,,
3,Apply GHS labels to the mix vessel.,,,3,58000.B,58000B,,
4,Charge vessel with water.,,WATER,4,58000.B,58000B,,
5,Start agitator.,,,5,58000.B,58000B,,
6,Add Versene 100,,030019,6,58000.B,58000B,,
7,Add Glycol Ether DB,,031031,7,58000.B,58000B,,
8,Add Kolb 91-8,,031013,8,58000.B,58000B,,
9,AddCocunut Fragrance,,030003,9,58000.B,58000B,,
10,Add Chromatech Liquidtint Orange Dye,,500321,10,58000.B,58000B,,
11,Agitate for 15 minutes.,,,11,58000.B,58000B,,
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,12,58000.B,58000B,,
13,Ensure that any agitators used have been turned off.,,,13,58000.B,58000B,,
14,Remove GHS labels from the mix vessel.,,,14,58000.B,58000B,,
1,Gather the required materials.,,,1,58100.B,58100B,,
2,Verify that the vessel is clean. ,,,2,58100.B,58100B,,
3,Apply GHS labels to the mix vessel.,,,3,58100.B,58100B,,
4,Charge vessel with water.,,WATER,4,58100.B,58100B,,
5,Start agitator.,,,5,58100.B,58100B,,
6,Add Rhodia Infinity,,100512,6,58100.B,58100B,,
7,Agitate for 5 minutes.,,,7,58100.B,58100B,,
8,Add Rhodia IRIS,,100513,8,58100.B,58100B,,
9,Add Glycol Ether EB,,030012,9,58100.B,58100B,,
10,Add Orange Enhancer Fragrance,,030124,10,58100.B,58100B,,
11,Agitate for 15 minutes.,,,11,58100.B,58100B,,
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,12,58100.B,58100B,,
13,Ensure that any agitators used have been turned off.,,,13,58100.B,58100B,,
14,Remove GHS labels from the mix vessel.,,,14,58100.B,58100B,,
1,Gather the required materials.,,,1,58200.B,58200B,,
2,Verify that the vessel is clean. ,,,2,58200.B,58200B,,
3,Apply GHS labels to the mix vessel.,,,3,58200.B,58200B,,
4,Charge vessel with DI water.,,030143,4,58200.B,58200B,,
5,Ensure that the DI water pump is turned off.,,,5,58200.B,58200B,,
6,Add Thetapel AM 5010 SLOWLY,,031038,6,58200.B,58200B,,
7,Add Busan 1264,,030146,7,58200.B,58200B,,
8,Start agitator or mix with paddle at LOW SPEED.,,,8,58200.B,58200B,,
9,Agitate for 15 minutes.,,,9,58200.B,58200B,,
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,10,58200.B,58200B,,
11,Ensure that any agitators used have been turned off.,,,11,58200.B,58200B,,
12,Remove GHS labels from the mix vessel.,,,12,58200.B,58200B,,
1,Gather the required materials.,,,1,601008,601008,,
2,Verify that vessel is clean. ,,,2,601008,601008,,
3,Apply GHS label to the mix vessel.,,,3,601008,601008,,
4,Charge vessel with EG.,,601015,4,601008,601008,,
5,Start agitator.,,,5,601008,601008,,
6,Add DI Water,,030143,6,601008,601008,,
7,Agitate for 5 minutes. ,,,7,601008,601008,,
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,8,601008,601008,,
9,Ensure that any agitators used have been turned off.,,,9,601008,601008,,
10,Apply GHS label to the mix vessel.,,,10,601008,601008,,
1,Gather the required materials.,,,1,601009GOLD.B,601009GOLDB,,
2,Verify that vessel is clean. ,,,2,601009GOLD.B,601009GOLDB,,
3,Apply GHS label to the mix vessel.,,,3,601009GOLD.B,601009GOLDB,,
4,Charge vessel with EG.,,601015,4,601009GOLD.B,601009GOLDB,,
5,Start agitator.,,,5,601009GOLD.B,601009GOLDB,,
6,Add MetalGuard A 81 at 1 gallon per minute,,050015,6,601009GOLD.B,601009GOLDB,,
7,Add DI Water,,030143,7,601009GOLD.B,601009GOLDB,,
8,Add phosphoric acid,,240079,8,601009GOLD.B,601009GOLDB,,
9,Using black wire locks; re-seal phosphoric acid tote.,,,9,601009GOLD.B,601009GOLDB,,
10,Agitate for 10 minutes,,,10,601009GOLD.B,601009GOLDB,,
11,Add Liquidtint Yellow AF,,030122,11,601009GOLD.B,601009GOLDB,,
12,Add Bitrex Solution,,100511,12,601009GOLD.B,601009GOLDB,,
13,Agitate for 5 minutes,,,13,601009GOLD.B,601009GOLDB,,
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,14,601009GOLD.B,601009GOLDB,,
15,Ensure that any agitators used have been turned off.,,,15,601009GOLD.B,601009GOLDB,,
16,Remove GHS label from the mix vessel.,,,16,601009GOLD.B,601009GOLDB,,
1,Gather the required materials.,,,1,601009,601009,,
2,Verify that vessel is clean. ,,,2,601009,601009,,
3,Apply GHS label to the mix vessel.,,,3,601009,601009,,
4,Charge vessel with EG.,,601015,4,601009,601009,,
5,Start agitator.,,,5,601009,601009,,
6,Add MetalGuard A 81 at 1 gallon per minute,,050015,6,601009,601009,,
7,Add DI Water,,030143,7,601009,601009,,
8,Ensure that the DI water pump is turned off.,,,8,601009,601009,,
9,Add phosphoric acid,,240079,9,601009,601009,,
10,Using black wire locks; re-seal phosphoric acid tote.,,,10,601009,601009,,
11,Agitate for 10 minutes,,,11,601009,601009,,
12,Add Chromatint Green 0218 dye,,240011,12,601009,601009,,
13,Add Uranine C,,240087,13,601009,601009,,
14,Add Bitrex Solution,,100511,14,601009,601009,,
15,Agitate for 5 minutes,,,15,601009,601009,,
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,16,601009,601009,,
17,Ensure that any agitators used have been turned off.,,,17,601009,601009,,
18,Remove GHS label from the mix vessel.,,,18,601009,601009,,
1,Gather the required materials.,,,1,601011DIL,601011DIL,,
2,Verify that vessel is clean. ,,,2,601011DIL,601011DIL,,
3,Apply GHS label to the mix vessel.,,,3,601011DIL,601011DIL,,
4,Charge vessel with EG.,,601015,4,601011DIL,601011DIL,,
5,Start agitator.,,,5,601011DIL,601011DIL,,
6,Add MetalGuard A 65 slowly,,602021,6,601011DIL,601011DIL,,
7,Add DI Water,,030143,7,601011DIL,601011DIL,,
8,Ensure that the DI water pump is turned off.,,,8,601011DIL,601011DIL,,
9,Add Bitrex Solution,,100511,9,601011DIL,601011DIL,,
10,Add Chromatint Orange 1073 liquid dye,,100460,10,601011DIL,601011DIL,,
11,Add phosphoric acid,,240079,11,601011DIL,601011DIL,,
12,Using black wire locks; re-seal phosphoric acid tote.,,,12,601011DIL,601011DIL,,
13,Agitate for 5 minutes,,,13,601011DIL,601011DIL,,
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,14,601011DIL,601011DIL,,
15,Ensure that any agitators used have been turned off.,,,15,601011DIL,601011DIL,,
16,Remove GHS label from the mix vessel.,,,16,601011DIL,601011DIL,,
1,Gather the required materials.,,,1,601011,601011,,
2,Verify that vessel is clean. ,,,2,601011,601011,,
3,Apply GHS label to the mix vessel.,,,3,601011,601011,,
4,Charge vessel with EG.,,601015,4,601011,601011,,
5,Start agitator.,,,5,601011,601011,,
6,Add MetalGuard A 65 slowly,,602021,6,601011,601011,,
7,Add Bitrex Solution,,100511,7,601011,601011,,
8,Add Chromatint Orange 1073 liquid dye,,100460,8,601011,601011,,
9,Add phosphoric acid,,240079,9,601011,601011,,
10,Using black wire locks; re-seal phosphoric acid tote.,,,10,601011,601011,,
11,Agitate for 5 minutes,,,11,601011,601011,,
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,12,601011,601011,,
13,Ensure that any agitators used have been turned off.,,,13,601011,601011,,
14,Remove GHS label from the mix vessel.,,,14,601011,601011,,
1,Gather the required materials.,,,1,601013PA,601013PA,,
2,Verify that vessel is clean. ,,,2,601013PA,601013PA,,
3,Apply GHS label to the mix vessel.,,,3,601013PA,601013PA,,
4,Charge vessel with EG.,gal,601015,4,601013PA,601013PA,,
5,Start agitator.,,,5,601013PA,601013PA,,
6,Add MetalGuard A 81 at 1 gallon per minute,gal,050015,6,601013PA,601013PA,,
7,Agitate for 10 minutes.,,,7,601013PA,601013PA,,
8,Add Blend - Quarantined EGAF - Q601013PA,gal,Q601013PA,8,601013PA,601013PA,,
9,Add Uranine C,grams,240087,9,601013PA,601013PA,,
10,Add phosphoric acid,gal,240079,10,601013PA,601013PA,,
11,Using black wire locks; re-seal phosphoric acid tote.,,,11,601013PA,601013PA,,
12,Take sample to lab for pH testing. ,,,12,601013PA,601013PA,,
13,Verify that pH is below 10.0,,,13,601013PA,601013PA,,
14,Add Bitrex Solution,lbs,100511,14,601013PA,601013PA,,
15,Agitate for 5 minutes,,,15,601013PA,601013PA,,
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,16,601013PA,601013PA,,
17,Ensure that any agitators used have been turned off.,,,17,601013PA,601013PA,,
18,Remove GHS label from the mix vessel.,,,18,601013PA,601013PA,,
1,Gather the required materials.,,,1,601013PACLR,601013PACLR,,
2,Verify that vessel is clean. ,,,2,601013PACLR,601013PACLR,,
3,Apply GHS label to the mix vessel.,,,3,601013PACLR,601013PACLR,,
4,Charge vessel with EG.,,601015,4,601013PACLR,601013PACLR,,
5,Start agitator.,,,5,601013PACLR,601013PACLR,,
6,Add MetalGuard A 81 at 1 gallon per minute,,050015,6,601013PACLR,601013PACLR,,
7,Agitate for 10 minutes.,,,7,601013PACLR,601013PACLR,,
8,Add phosphoric acid,,240079,8,601013PACLR,601013PACLR,,
9,Using black wire locks; re-seal phosphoric acid tote.,,,9,601013PACLR,601013PACLR,,
10,Take sample to lab for pH testing. ,,,10,601013PACLR,601013PACLR,,
11,Verify that pH is below 10.0,,,11,601013PACLR,601013PACLR,,
12,Add Bitrex Solution,,100511,12,601013PACLR,601013PACLR,,
13,Agitate for 5 minutes,,,13,601013PACLR,601013PACLR,,
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,14,601013PACLR,601013PACLR,,
15,Ensure that any agitators used have been turned off.,,,15,601013PACLR,601013PACLR,,
16,Remove GHS label from the mix vessel.,,,16,601013PACLR,601013PACLR,,
1,Gather the required materials.,,,1,601013PA,601013PA,,
2,Verify that vessel is clean. ,,,2,601013PA,601013PA,,
3,Apply GHS label to the mix vessel.,,,3,601013PA,601013PA,,
4,Charge vessel with EG.,gal,601015,4,601013PA,601013PA,,
5,Start agitator.,,,5,601013PA,601013PA,,
6,Add MetalGuard A 81 at 1 gallon per minute,gal,050015,6,601013PA,601013PA,,
7,Agitate for 10 minutes.,,,7,601013PA,601013PA,,
8,Add Chromatint Green 0218 dye,lb,240011,8,601013PA,601013PA,,
9,Add Uranine C,grams,240087,9,601013PA,601013PA,,
10,Add phosphoric acid,gal,240079,10,601013PA,601013PA,,
11,Using black wire locks; re-seal phosphoric acid tote.,,,11,601013PA,601013PA,,
12,Take sample to lab for pH testing. ,,,12,601013PA,601013PA,,
13,Verify that pH is below 10.0,,,13,601013PA,601013PA,,
14,Add Bitrex Solution,lbs,100511,14,601013PA,601013PA,,
15,Agitate for 5 minutes,,,15,601013PA,601013PA,,
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,16,601013PA,601013PA,,
17,Ensure that any agitators used have been turned off.,,,17,601013PA,601013PA,,
18,Remove GHS label from the mix vessel.,,,18,601013PA,601013PA,,
1,Gather the required materials.,,,1,601014,601014,,
2,Verify that vessel is clean. ,,,2,601014,601014,,
3,Apply GHS label to the mix vessel.,,,3,601014,601014,,
4,Charge vessel with water.,,WATER,4,601014,601014,,
5,Start agitator.,,,5,601014,601014,,
6,Add EG antifreeze,,601013,6,601014,601014,,
7,Agitate until ingredients are mixed.,,,7,601014,601014,,
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,8,601014,601014,,
9,Ensure that any agitators used have been turned off.,,,9,601014,601014,,
10,Remove GHS label from the mix vessel.,,,10,601014,601014,,
1,Gather the required materials.,,,1,601022,601022,,
2,Verify that vessel is clean. ,,,2,601022,601022,,
3,Apply GHS label to the mix vessel.,,,3,601022,601022,,
4,Charge vessel with EG.,,601015,4,601022,601022,,
5,Start agitator.,,,5,601022,601022,,
6,Add MetalGuard A 81,,050015,6,601022,601022,,
7,Add water,,WATER,7,601022,601022,,
10,Agitate for 10 minutes.,,,8,601022,601022,,
11,Add Chromatint Green 0218 dye,,240011,9,601022,601022,,
12,Take sample to lab for pH testing. ,,,10,601022,601022,,
13,Verify that pH is below 10.0,,,11,601022,601022,,
14,Add Bitrex Solution,,100511,12,601022,601022,,
15,Agitate for 5 minutes,,,13,601022,601022,,
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,14,601022,601022,,
15,Ensure that any agitators used have been turned off.,,,15,601022,601022,,
16,Remove GHS label from the mix vessel.,,,16,601022,601022,,
1,Gather the required materials.,,,1,601023,601023,,
2,Verify that vessel is clean. ,,,2,601023,601023,,
3,Apply GHS label to the mix vessel.,,,3,601023,601023,,
4,Charge vessel with EG.,,601015,4,601023,601023,,
5,Start agitator.,,,5,601023,601023,,
6,Add MetalGuard A 81 at 1 gallon per minute,,050015,6,601023,601023,,
7,Add water.,,WATER,7,601023,601023,,
8,Agitate for 10 minutes.,,,8,601023,601023,,
9,Add Chromatint Green 0218 dye,,240011,9,601023,601023,,
10,Add Phosphoric Acid then sample to lab for pH,,,10,601023,601023,,
11,Using black wire locks; re-seal phosphoric acid tote.,,,11,601023,601023,,
12,Take sample to lab for pH testing. ,,240079,12,601023,601023,,
13,Verify that pH is below 10.0,,,13,601023,601023,,
14,Add Bitrex Solution,,100511,14,601023,601023,,
15,Agitate for 5 minutes,,,15,601023,601023,,
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,16,601023,601023,,
17,Ensure that any agitators used have been turned off.,,,17,601023,601023,,
18,Remove GHS label from the mix vessel.,,,18,601023,601023,,
1,Gather the required materials.,,,1,602000,602000,,
2,Verify that the vessel is clean. ,,,2,602000,602000,,
3,Charge vessel with water.,gal,WATER,3,602000,602000,,
4,Start agitator.,,,4,602000,602000,,
5,Add GL47,lbs,031035,5,602000,602000,,
6,Agitate for 10 minutes,,,6,602000,602000,,
7,Add Ammonium Chloride,lbs,030007,7,602000,602000,,
8,Agitate for 10 minutes,,,8,602000,602000,,
10,Add Dye-Turquoise 8GL,GRAMS,030009,9,602000,602000,,
11,Add Coladet DEF 15,lbs,030008CN,10,602000,602000,,
12,Agitate for 20 minutes then add:,,,11,602000,602000,,
13,Add Busan 1264,lbs,030146,12,602000,602000,,
12,Add Blueberry W/S,lbs,030175,13,602000,602000,,
14,Agitate for 15 minutes.,,,14,602000,602000,,
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,15,602000,602000,,
16,Ensure that any agitators used have been turned off.,,,16,602000,602000,,
17,Remove GHS hazard label from vessel and add LOT#'s to finished totes,,,17,602000,602000,,
1,Gather the required materials.,,,1,602001,602001,,
2,Verify that the vessel is clean. ,,,2,602001,602001,,
3,Obtain GHS hazard label and apply to mix vessel. ,,,3,602001,602001,,
4,Charge vessel with water.,gal,WATER,4,602001,602001,,
5,Start agitator.,,,5,602001,602001,,
6,Add Busan 1264,lbs,030146,6,602001,602001,,
7,Add Accusol 820,lbs,030000,7,602001,602001,,
8,Add Sodium Metsilicate,lbs,240073,8,602001,602001,,
9,Agitate until ingredients are mixed.,,,9,602001,602001,,
10,Add 91-8,lbs,031013,10,602001,602001,,
11,Add IPA 99%,lbs,030018,11,602001,602001,,
12,Add Ordernone,lbs,030198,12,602001,602001,,
13,Add Blueberry W/S,lbs,030175,13,602001,602001,,
14,Add DYE Turquoise Green 8GL,grams,030009,14,602001,602001,,
15,Agitate for 15 minutes.,,,15,602001,602001,,
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,16,602001,602001,,
17,Ensure that any agitators used have been turned off.,,,17,602001,602001,,
18,Remove GHS hazard label from mix vessel.,,,18,602001,602001,,
1,Gather the required materials.,,,1,602002,602002,,
2,Verify that the vessel is clean. ,,,2,602002,602002,,
3,Apply GHS label to the mix vessel.,,,3,602002,602002,,
4,Charge vessel with water.,,WATER,4,602002,602002,,
5,Start agitator.,,,5,602002,602002,,
6,Add Dissolvine E-39,,030019,6,602002,602002,,
7,Add Sodium Citrate,,100466,7,602002,602002,,
8,Add Glycol Ether DPM,,030011,8,602002,602002,,
9,Add Glycol Ether DB,,031031,9,602002,602002,,
10,Add NP-9,,100468,10,602002,602002,,
11,Add Sodium Dodecylbenzene Sulfonate (DDBSA),,030010,11,602002,602002,,
12,Add Busan 1264,,030146,12,602002,602002,,
13,Add Super Green Fragrance,,100467,13,602002,602002,,
14,Add Keyacid Napthol Green B-1,,030016,14,602002,602002,,
15,Add Chromatint 0218 Alizarine Green,,240011,15,602002,602002,,
16,Agitate for 5 minutes.,,,16,602002,602002,,
17,Sample blend; label sample container; and deliver sample to QC Lab.,,,17,602002,602002,,
18,Ensure that any agitators used have been turned off.,,,18,602002,602002,,
19,Remove GHS label from the mix vessel.,,,19,602002,602002,,
1,Gather the required materials.,,,1,602003,602003,,
2,Verify that the vessel is clean. ,,,2,602003,602003,,
3,Charge vessel with water.,gal,WATER,3,602003,602003,,
4,Start agitator.,,,4,602003,602003,,
5,Add Oxalic Acid,lbs,030025,5,602003,602003,,
6,Add Glycol Ether EB,lbs,030012,6,602003,602003,,
7,Add 91-8,lbs,031013,7,602003,602003,,
8,Agitate for 20 minutes.,,,8,602003,602003,,
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,9,602003,602003,,
10,Ensure that any agitators used have been turned off.,,,10,602003,602003,,
11,"Remove GHS hazard label from vessel, add lot number to tote",,,11,602003,602003,,
1,Gather the required materials.,,,1,602005,602005,,
2,Verify that the vessel is empty.,,,2,602005,602005,,
3,Apply GHS label to the mix vessel.,,,3,602005,602005,,
4,Charge vessel with LPA / Mineral Spirits.,GAL,030033,4,602005,602005,,
5,Start agitator.,,,5,602005,602005,,
6,Add Advapel 851,lbs,030119,6,602005,602005,,
7,Add APS-232 OMS,lbs,030120,7,602005,602005,,
8,Agitate for 10 minutes,,,8,602005,602005,,
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,9,602005,602005,,
10,Ensure that any agitators used have been turned off.,,,10,602005,602005,,
11,Remove GHS label from the mix vessel.,,,11,602005,602005,,
1,Gather the required materials.,,,1,602009,602009,,
2,Verify that the vessel is clean. ,,,2,602009,602009,,
3,Apply GHS label to the mix vessel.,,,3,602009,602009,,
4,Charge vessel with water.,,WATER,4,602009,602009,,
5,Start agitator.,,,5,602009,602009,,
6,Add Accusol 820,,030000,6,602009,602009,,
7,Agitate for 5 minutes.,,,7,602009,602009,,
8,Add SODIUM HYPOCHLORITE,,030024,8,602009,602009,,
9,Using red wire locks; re-seal sodium hypochlorite tote.,,,9,602009,602009,,
10,Add SODIUM HYDROXIDE,,050007,10,602009,602009,,
11,Agitate for 5 minutes.,,,11,602009,602009,,
12,Add Tomadol 91-8,,031013,12,602009,602009,,
13,Add T-Mulz 800,,030041,13,602009,602009,,
14,Agitate for 20 minutes.,,,14,602009,602009,,
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,15,602009,602009,,
16,Ensure that any agitators used have been turned off.,,,16,602009,602009,,
17,Remove GHS label from the mix vessel.,,,17,602009,602009,,
1,Gather the required materials.,,,1,602010,602010,,
2,Verify that the vessel is clean. ,,,2,602010,602010,,
3,Apply GHS label to the mix vessel.,,,3,602010,602010,,
4,Charge vessel with water.,gal,WATER,4,602010,602010,,
5,Start agitator.,,,5,602010,602010,,
6,Add DYE-L85000 Liquidtint Patent Blue ,grams,100461,6,602010,602010,,
7,Add Lemon Fragrance ,lbs,030004,7,602010,602010,,
8,Add Maquat MC1416 - 50%,lbs,030026,8,602010,602010,,
9,Agitate for 30 minutes.,,,9,602010,602010,,
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,10,602010,602010,,
11,Ensure that any agitators used have been turned off.,,,11,602010,602010,,
12,Remove GHS label from the mix vessel.,,,12,602010,602010,,
1,Gather the required materials.,,,1,602011,602011,,
2,Verify that the vessel is clean. ,,,2,602011,602011,,
3,Apply GHS label to the mix vessel.,,,3,602011,602011,,
4,Charge vessel with water.,gal,WATER,4,602011,602011,,
5,Start agitator.,,,5,602011,602011,,
6,Add Keyacid Napthol Green B-1,grams,030016,6,602011,602011,,
7,Add Pine Fragrance P-1884,lbs,030036,7,602011,602011,,
8,Add Maquat CS 465,lbs,030026,8,602011,602011,,
9,Agitate for 20 minutes.,,,9,602011,602011,,
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,10,602011,602011,,
11,Ensure that any agitators used have been turned off.,,,11,602011,602011,,
12,Remove GHS label from the mix vessel.,,,12,602011,602011,,
1,Gather the required materials.,,,1,602014,602014,,
2,Verify that the totes being used are clean. ,,,2,602014,602014,,
3,Apply GHS hazard labels.,,,3,602014,602014,,
4,Add methanol.,,500200,4,602014,602014,,
5,Sample blend; label sample container; and deliver sample to QC Lab.,,,5,602014,602014,,
6,Ensure that any agitators used have been turned off.,,,6,602014,602014,,
1,Gather the required materials.,,,1,602016,602016,,
2,Verify that the vessel is clean. ,,,2,602016,602016,,
3,Apply GHS label to the mix vessel.,,,3,602016,602016,,
4,Charge vessel with water.,,WATER,4,602016,602016,,
5,Start agitator.,,,5,602016,602016,,
6,Add Potassium Carbonate,,030138,6,602016,602016,,
7,Agitate until ingredients are mixed.,,,7,602016,602016,,
8,Add Dissolvine E-39,,030019,8,602016,602016,,
9,Add D'Limonene,,030038,9,602016,602016,,
10,Add Vitech Eqi,,100518,10,602016,602016,,
11,Add Vitech BW,,100522,11,602016,602016,,
12,Add SXS 40,,030013,12,602016,602016,,
13,Add Ordonone W/S,,030198,13,602016,602016,,
14,Add APS-342,,031036,14,602016,602016,,
15,Add Eversorb AQ1,,030110,15,602016,602016,,
16,Agitate for 20 minutes.,,,16,602016,602016,,
17,Sample blend; label sample container; and deliver sample to QC Lab.,,,17,602016,602016,,
18,Ensure that any agitators used have been turned off.,,,18,602016,602016,,
19,Remove GHS label from the mix vessel.,,,19,602016,602016,,
1,Gather the required materials.,,,1,602017FLUSH,602017FLUSH,,
2,Verify that the vessel is clean. ,,,2,602017FLUSH,602017FLUSH,,
3,Apply GHS label to the mix vessel.,,,3,602017FLUSH,602017FLUSH,,
4,Charge vessel with water.,gal,WATER,4,602017FLUSH,602017FLUSH,,
5,Start agitator.,,,5,602017FLUSH,602017FLUSH,,
6,Add Versene 100,lbs,030019,6,602017FLUSH,602017FLUSH,,
7,Add Tomadol 91-8,lbs,031013,7,602017FLUSH,602017FLUSH,,
8,Add Glycol Ether DPM,lbs,030011,8,602017FLUSH,602017FLUSH,,
10,Add IPA,lbs,030018,9,602017FLUSH,602017FLUSH,,
11,Add Coladet 190,lbs,030113,10,602017FLUSH,602017FLUSH,,
12,Agitate for 10 minutes.,,,11,602017FLUSH,602017FLUSH,,
13,Add Keyacid Napthol Green,grams,030016,12,602017FLUSH,602017FLUSH,,
14,Agitate for 10 minutes.,,,13,602017FLUSH,602017FLUSH,,
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,14,602017FLUSH,602017FLUSH,,
16,Ensure that any agitators used have been turned off.,,,15,602017FLUSH,602017FLUSH,,
17,Remove GHS label from the mix vessel.,,,16,602017FLUSH,602017FLUSH,,
18,Remove GHS label from the mix vessel.,,,17,602017FLUSH,602017FLUSH,,
1,Gather the required materials.,,,1,602017,602017,,
2,Verify that the vessel is clean. ,,,2,602017,602017,,
3,Apply GHS label to the mix vessel.,,,3,602017,602017,,
4,Charge vessel with water.,gal,WATER,4,602017,602017,,
5,Start agitator.,,,5,602017,602017,,
6,Add Versene 100,lbs,030019,6,602017,602017,,
7,Add Tomadol 91-8,lbs,031013,7,602017,602017,,
8,Add Glycol Ether DPM,lbs,030011,8,602017,602017,,
9,Add APS-342,lbs,031036,9,602017,602017,,
10,Add IPA,lbs,030018,10,602017,602017,,
11,Add Coladet 190,lbs,030113,11,602017,602017,,
12,Agitate for 10 minutes.,,,12,602017,602017,,
