step_number,step_description,unit,component_item_code,blend_item_code
4,Charge vessel with water.,gal,WATER,32700.B
5,Add PG,gal,050000,32700.B
6,Add DKP,gal,030066,32700.B
7,Add DYE-Chromatint Red 40 C73024X,grams,050008,32700.B
8,Agitate for 10 minutes.,,,32700.B
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,32700.B
10,Ensure that any agitators used have been turned off.,,,32700.B
11,Remove GHS labels from the mix vessel. ,,,32700.B
1,Gather the required materials.,,,32800.B
2,Verify that the vessel is clean. ,,,32800.B
3,Apply GHS labels to the mix vessel.,,,32800.B
4,Charge vessel with water.,gal,WATER,32800.B
5,Add PG,gal,050000,32800.B
6,Add DKP,gal,030066,32800.B
7,Add DYE-Chromatint Red 40 C73024X,grams,050008,32800.B
8,Agitate for 10 minutes.,,,32800.B
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,32800.B
10,Ensure that any agitators used have been turned off.,,,32800.B
11,Remove GHS labels from the mix vessel. ,,,32800.B
1,Gather the required materials.,,,33200CONC.B 
2,Verify that the vessel is clean. ,,,33200CONC.B 
3,Apply GHS labels to the mix vessel.,,,33200CONC.B 
4,Charge vessel with PG.,gal,050000,33200CONC.B 
6,Start agitator.,,,33200CONC.B 
7,Agitate for 10 minutes.,,,33200CONC.B 
8,Add DYE-CHROMATINT BLUE 0408,grams,030112,33200CONC.B 
9,Add DYE - Chromatint Red 1887,grams,050017,33200CONC.B 
10,Add BTNN80,gal,030176,33200CONC.B 
11,Agitate for 20 minutes.,,,33200CONC.B 
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,33200CONC.B 
13,Ensure that any agitators used have been turned off.,,,33200CONC.B 
14,Remove GHS labels from the mix vessel. ,,,33200CONC.B 
VW,Removed Polyglycol 112-2 4-20-23,,,33200CONC.B 
1,Gather the required materials.,,,33200DIL.B
2,Verify that the vessel is clean. ,,,33200DIL.B
3,Apply GHS labels to the mix vessel.,,,33200DIL.B
4,Charge vessel with PG.,gal,050000,33200DIL.B
5,Start agitator.,,,33200DIL.B
6,Agitate for 10 minutes.,,,33200DIL.B
7,Add DYE-CHROMATINT BLUE 0408,grams,030112,33200DIL.B
8,Add DYE - Chromatint Red 1887,grams,050017,33200DIL.B
9,Add BTNN80,gal,030176,33200DIL.B
10,Add DI Water,gal,030143,33200DIL.B
11,Ensure that the DI water pump is turned off.,,,33200DIL.B
12,Agitate for 20 minutes.,,,33200DIL.B
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,33200DIL.B
14,Ensure that any agitators used have been turned off.,,,33200DIL.B
15,Remove GHS labels from the mix vessel. ,,,33200DIL.B
1,Gather the required materials.,,,33200DILRED.B
2,Verify that the vessel is clean. ,,,33200DILRED.B
3,Apply GHS labels to the mix vessel.,,,33200DILRED.B
4,Charge vessel with PG.,gal,050000,33200DILRED.B
6,Start agitator.,,,33200DILRED.B
7,Agitate for 10 minutes.,,,33200DILRED.B
8,Add Chromtech Red 40 C73024X,grams,050008,33200DILRED.B
9,Add BTNN80 slowly. ,gal,030176,33200DILRED.B
10,Add DI Water,gal,030143,33200DILRED.B
11,Ensure that the DI water pump is turned off.,,,33200DILRED.B
12,Agitate for 20 minutes.,,,33200DILRED.B
13,Sample blend; label sample container; and deliver sample to QC Lab.,,,33200DILRED.B
14,Ensure that any agitators used have been turned off.,,,33200DILRED.B
15,Remove GHS labels from the mix vessel. ,,,33200DILRED.B
1,Gather the required materials.,,,33300.B
2,Verify that the vessel is clean. ,,,33300.B
3,Apply GHS labels to the mix vessel.,,,33300.B
4,Charge vessel with water.,,WATER,33300.B
5,Add MetalGuard 81,,050015,33300.B
6,Add Chromatint Green 0218 dye,,240011,33300.B
7,Add Uranine C Dye (Keystone),,240087,33300.B
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,33300.B
9,Ensure that any agitators used have been turned off.,,,33300.B
10,Remove GHS labels from the mix vessel.,,,33300.B
1,Gather the required materials.,,,33400.B
2,Verify that the vessel is clean. ,,,33400.B
3,Apply GHS labels to the mix vessel.,,,33400.B
4,Charge vessel with water.,,WATER,33400.B
5,Add MetalGuard 81,,050015,33400.B
6,Add Chromatint Green 0218 dye,,240011,33400.B
7,Add Uranine C Dye (Keystone),,240087,33400.B
8,Add Phosphoric Acid,,240079,33400.B
9,Using black wire locks; re-seal phosphoric acid tote.,,,33400.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,33400.B
11,Ensure that any agitators used have been turned off.,,,33400.B
12,Remove GHS labels from the mix vessel. ,,,33400.B
1,Gather the required materials.,,,33500.B
2,Verify that the vessel is clean. ,,,33500.B
3,Apply GHS labels to the mix vessel.,,,33500.B
4,Charge vessel with EG.,gal,601015,33500.B
5,Start agitator.,,,33500.B
6,Add Liquidtint Yellow AF Dye,gal,030122,33500.B
7,Add BTNN80 slowly. ,lbs,030176,33500.B
8,Add Bitrex.,grams,100511,33500.B
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,33500.B
10,Ensure that any agitators used have been turned off.,,,33500.B
11,Remove GHS labels from the mix vessel. ,,,33500.B
1,Gather the required materials.,,,33600.B
2,Verify that the vessel is clean. ,,,33600.B
3,Apply GHS labels to the mix vessel.,,,33600.B
4,Charge vessel with DI water.,,030143,33600.B
5,Ensure that the DI water pump is turned off.,,601015,33600.B
6,Add EG,,601015,33600.B
7,Start agitator.,,,33600.B
8,Add Liquidtint Yellow AF Dye,,030122,33600.B
9,Add BTNN80 slowly. ,,030176,33600.B
10,Add Bitrex.,,100511,33600.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,33600.B
12,Ensure that any agitators used have been turned off.,,,33600.B
13,Remove GHS labels from the mix vessel. ,,,33600.B
1,Gather the required materials.,,,33700.B
2,Verify that the vessel is clean. ,,,33700.B
3,Apply GHS labels to the mix vessel.,,,33700.B
4,Charge vessel with water.,,WATER,33700.B
5,Add PG,gal,050000,33700.B
6,Add DNA,gal,031018,33700.B
7,Add Tween 20,lbs,031019,33700.B
8,Add Chromatech Red 40,grams,050008,33700.B
9,Agitate for 20 minutes.,,,33700.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,33700.B
11,Ensure that any agitators used have been turned off.,,,33700.B
12,Remove GHS labels from the mix vessel. ,,,33700.B
1,Gather the required materials.,,,33900.B
2,Verify that the vessel is clean. ,,,33900.B
3,Apply GHS labels to the mix vessel.,,,33900.B
4,Charge vessel with water.,,WATER,33900.B
5,Add PG,gal,050000,33900.B
6,Add DNA,gal,031018,33900.B
7,Add Tween 20,lbs,031019,33900.B
8,Add Water,gal,,33900.B
9,Agitate for 20 minutes.,,,33900.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,33900.B
11,Ensure that any agitators used have been turned off.,,,33900.B
12,Remove GHS labels from the mix vessel. ,,,33900.B
1,Gather the required materials.,,,44200.B
2,Verify that the vessel is clean. ,,,44200.B
3,Apply GHS labels to the mix vessel.,,,44200.B
4,Charge vessel with water.,gal,WATER,44200.B
5,Add Fibrosil -EM60-HG ,lbs,030164,44200.B
6,Add Coconut Fragrance,lbs,030003,44200.B
7,Add Preventol D7,lbs,030146P,44200.B
8,Add Eversorb Aqi,lbs,030110,44200.B
9,Add APS-342,lbs,100473,44200.B
10,Agitate for 20 minutes.,,,44200.B
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,44200.B
12,Ensure that any agitators used have been turned off.,,,44200.B
13,Remove GHS labels from the mix vessel.,,,44200.B
1,Gather the required materials.,,,500400
2,Verify that vessel is clean. ,,,500400
3,Apply GHS label to the mix vessel.,,,500400
4,Charge vessel with water.,gal,WATER,500400
5,Start agitator.,,,500400
6,Add Methanol,gal,500200,500400
7,Add DYE-BLUE LACE 2325 50 KOCH IND,grams,030132,500400
8,Agitate for 20 minutes.,,,500400
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,500400
10,Ensure that any agitators used have been turned off.,,,500400
11,Remove GHS label from the mix vessel.,,,500400
1,Gather the required materials.,,,500420
2,Verify that vessel is clean. ,,,500420
3,Apply GHS label to the mix vessel.,,,500420
4,Charge vessel with water.,,WATER,500420
5,Start agitator.,,,500420
6,Add Methanol,,500200,500420
7,Add DYE-BLUE LACE 2325 50 KOCH IND,,030132,500420
8,Agitate for 20 minutes.,,,500420
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,500420
10,Ensure that any agitators used have been turned off.,,,500420
11,Remove GHS label from the mix vessel.,,,500420
1,Gather the required materials.,,,500500
2,Verify that vessel is clean. ,,,500500
3,Apply GHS label to the mix vessel.,,,500500
4,Charge vessel with water.,,WATER,500500
5,Start agitator.,,,500500
6,Add Methanol,,500200,500500
7,Add DYE-BLUE LACE 2325 50 KOCH IND,,030132,500500
8,Agitate for 20 minutes.,,,500500
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,500500
10,Ensure that any agitators used have been turned off.,,,500500
11,Remove GHS label from the mix vessel.,,,500500
1,Gather the required materials.,,,500501
2,Verify that vessel is clean. ,,,500501
3,Apply GHS label to the mix vessel.,,,500501
4,Charge vessel with water.,,WATER,500501
5,Start agitator.,,,500501
6,Add Preventol,,030146P,500501
7,Add Methanol,,500200,500501
8,Add DYE-BLUE LACE 2325 50 KOCH IND,,030132,500501
9,Agitate for 20 minutes.,,,500501
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,500501
11,Ensure that any agitators used have been turned off.,,,500501
12,Remove GHS label from the mix vessel.,,,500501
1,Gather the required materials.,,,500503
2,Verify that vessel is clean. ,,,500503
3,Apply GHS label to the mix vessel.,,,500503
4,Charge vessel with water.,gal,WATER,500503
5,Start agitator.,,,500503
6,Add Propylene Glycol,lb,050000,500503
7,Add Methanol,gal,500200,500503
8,Add DYE-BLUE LACE 2325 50 KOCH IND,grams,030132,500503
9,Agitate for 20 minutes.,,,500503
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,500503
11,Ensure that any agitators used have been turned off.,,,500503
12,Remove GHS label from the mix vessel.,,,500503
1,Gather the required materials.,,,500504
2,Verify that vessel is clean. ,,,500504
3,Apply GHS label to the mix vessel.,,,500504
4,Charge vessel with water.,gal,WATER,500504
5,Start agitator.,,,500504
6,Add Preventol D7,lbs,030146P,500504
7,Add 91-8,lbs,031013,500504
8,Add DYE-BLUE LACE 2325 50 KOCH IND,grams,030132,500504
9,Agitate for 20 minutes.,,,500504
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,500504
11,Ensure that any agitators used have been turned off.,,,500504
12,Remove GHS label from the mix vessel.,,,500504
1,Gather the required materials.,,,500505
2,Verify that vessel is clean. ,,,500505
3,Apply GHS label to the mix vessel.,,,500505
4,Charge vessel with water.,gal,WATER,500505
5,Start agitator.,,,500505
6,Add Methanol,lbs,500200,500505
7,Add DYE-BLUE LACE 2325 50 KOCH IND,grams,030132,500505
8,Agitate for 20 minutes.,,,500505
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,500505
10,Ensure that any agitators used have been turned off.,,,500505
11,Remove GHS label from the mix vessel.,,,500505
1,Gather the required materials.,,,5116.B
2,Verify that the vessel is clean. ,,,5116.B
3,Obtain GHS hazard label and apply to mix vessel. ,,,5116.B
4,Charge vessel with water.,,WATER,5116.B
5,Throughly rinse pumps with water.,,,5116.B
6,Start agitator. ,,,5116.B
7,Add Evogen Multi Enzyme Concentrate under agitation.,,030149,5116.B
8,Agitate for 10 minutes.,,,5116.B
9,Sample blend; label sample container; and deliver sample to QC Lab.,,,5116.B
10,Ensure that any agitators used have been turned off.,,,5116.B
11,Remove GHS hazard label from mix vessel.,,,5116.B
12,"When dumping, use a clean or dedicated tote. Do not expose to acids, bases, chelating agents, or oxidizers.",,,5116.B
1,Gather the required materials.,,,5359351.B
2,Verify that the vessel is clean. ,,,5359351.B
3,Apply GHS label to the mix vessel.,,,5359351.B
4,Charge vessel with water.,,WATER,5359351.B
5,Start agitator.,,,5359351.B
6,Add DYE Turquoise Green 8GL,,030009,5359351.B
7,Add Maquat CS-465,,030026,5359351.B
8,Add Spearmint Fragrance,,030109,5359351.B
9,Agitate until ingredients are mixed.,,,5359351.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,5359351.B
11,Ensure that any agitators used have been turned off.,,,5359351.B
12,Remove GHS label from the mix vessel.,,,5359351.B
1,Gather the required materials.,,,54900.B
2,Verify that the vessel is clean. ,,,54900.B
3,Apply GHS labels to the mix vessel.,,,54900.B
4,Charge vessel with DI water.,,030143,54900.B
5,Ensure that the DI water pump is turned off.,,,54900.B
6,Start agitator. ,,,54900.B
7,Add Carbopol EZ-2 Resin,,030158,54900.B
8,Agitate for 10 minutes.,,,54900.B
9,Add Caustic Soda SLOWLY.,,050007,54900.B
10,Verify that the mixture has begun thickening.,,,54900.B
11,Add gluconic acid 50%,,030159,54900.B
12,Using black wire locks; re-seal gluconic acid tote.,,,54900.B
13,Verify that product is thinning out and heating up. ,,,54900.B
14,Add Hydrochloric acid SLOWLY.,,030050,54900.B
15,Using blue wire locks; re-seal hydrochloric acid tote.,,,54900.B
16,Agitate for 15 minutes.,,,54900.B
17,Sample blend; label sample container; and deliver sample to QC Lab.,,,54900.B
18,Ensure that any agitators used have been turned off.,,,54900.B
19,Remove GHS labels from the mix vessel.,,,54900.B
1,Gather the required materials.,,,55432.B
2,Verify that the final mix vessel and the kelzan mix vessel are both clean. ,,,55432.B
3,Apply GHS labels to the final mix vessel.,,,55432.B
4,Pour no more than 200 gallons of water into the Kelzan mix vessel.,,WATER,55432.B
5,Start Kelzan agitator. ,,,55432.B
6,Add Kelzan AXST.,,030171,55432.B
7,Agitate Kelzan for 20 minutes.,,,55432.B
8,Verify that all powder is dissolved and product is clump free.,,,55432.B
9,Start agitator in main mix vessel. ,,,55432.B
10,Add the Kelzan mixture to the main mixing vessel. ,,,55432.B
11,Add phosphoric acid 75%,,240079,55432.B
12,Using black wire locks; re-seal phosphoric acid tote.,,,55432.B
13,Add Versene 100,,030019,55432.B
14,Add Tomadol 91-8,,031013,55432.B
15,Add Glycol Ether DPM,,030011,55432.B
16,Add Chromatint Red 1887,,050017,55432.B
17,Add Chromatint Blue Dye 0408,,030112,55432.B
18,Add the remaining water,,WATER,55432.B
19,Sample blend; label sample container; and deliver sample to QC Lab.,,,55432.B
20,Ensure that any agitators used have been turned off.,,,55432.B
21,Remove GHS labels from the mix vessel.,,,55432.B
1,Gather the required materials.,,,57000.B
2,Verify that the final mix vessel and the kelzan mix vessel are both clean. ,,,57000.B
3,Apply GHS labels to the final mix vessel.,,,57000.B
4,Pour 200 gallons of water into the Kelzan mix vessel.,gal,WATER,57000.B
5,Start Kelzan agitator. ,,,57000.B
6,Add Kelzan AP-AS,lbs,030171,57000.B
7,Agitate Kelzan for 20 minutes.,,,57000.B
8,Verify that all powder is dissolved and product is clump free.,,,57000.B
9,Start agitator in main mix vessel. ,,,57000.B
10,Add the Kelzan mixture to the main mixing vessel. ,,,57000.B
11,Add phosphoric acid 75%,lbs,240079,57000.B
12,Using black wire locks; re-seal phosphoric acid tote.,,,57000.B
13,Add Dissovine GL 47,lbs,030019,57000.B
14,Add Preventol D7,lbs,030146P,57000.B
15,Add Suga Boost 050,lbs,031013,57000.B
16,Add Chromatint Red 1887,grams,050017,57000.B
17,Add Chromatint Blue Dye 0408,grams,030112,57000.B
18,Add the remaining water,gal,WATER,57000.B
19,Sample blend; label sample container; and deliver sample to QC Lab.,,,57000.B
20,Ensure that any agitators used have been turned off.,,,57000.B
21,Remove GHS labels from the mix vessel.,,,57000.B
22,7/15/22Changed from 0.75% Phosphoric acid to 1% Phosphoric Acid amnd BIT 20 to CMIT,,,57000.B
1,Gather the required materials.,,,57400.B
2,Verify that the final mix vessel and the kelzan mix vessel are both clean. ,,,57400.B
3,Apply GHS labels to the final mix vessel.,,,57400.B
4,Pour 200 gallons of water into the Kelzan mix vessel.,gal,WATER,57400.B
5,Agitate Kelzan for 60 minutes.,,,57400.B
6,Verify that all powder is dissolved and product is clump free.,,,57400.B
7,Charge the final mix vessel with the remaining water.,gal,WATER,57400.B
8,Start agitator of final mix vessel. ,,,57400.B
9,Add dissolved Kelzan to the main mixing vessel. ,,,57400.B
10,Verify that there are no clumps in the mixture.,,,57400.B
11,Add Oxalic Acid.,lbs,030025,57400.B
12,Agitate for 10 minutes.,,,57400.B
13,Add Glycolic Acid ,lbs,030151,57400.B
14,Using black wire locks; re-seal glycolic acid tote.,,,57400.B
15,Add AOS 40,lbs,030152,57400.B
16,Add Busan 1264,lbs,030146,57400.B
17,Agitate for 30 minutes.,,,57400.B
18,Sample blend; label sample container; and deliver sample to QC Lab.,,,57400.B
19,Ensure that any agitators used have been turned off.,,,57400.B
20,Remove GHS label from the mix vessel.,,,57400.B
1,Gather the required materials.,,,57700.B
2,Verify that the vessel is clean. ,,,57700.B
3,Apply GHS labels to the mix vessel.,,,57700.B
4,Charge vessel with water.,gal,WATER,57700.B
5,Start agitator.,,,57700.B
6,TKPP,lbs,030039,57700.B
7,Agitate for 5 minutes. ,,,57700.B
8,Add Potassium hydroxide,lbs,240077,57700.B
9,Add Dissolvine/Hampene/Versene EDTA,lbs,030019,57700.B
10,Add Glycol Ether EB,lbs,030012,57700.B
11,Add IPA,lbs,030018,57700.B
12,Add Glucopon 425N,lbs,030130,57700.B
13,Agitate for 20 minutes.,,,57700.B
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,57700.B
15,Ensure that any agitators used have been turned off.,,,57700.B
16,Remove GHS labels from the mix vessel.,,,57700.B
1,Gather the required materials.,,,58000.B
2,Verify that the vessel is clean. ,,,58000.B
3,Apply GHS labels to the mix vessel.,,,58000.B
4,Charge vessel with water.,,WATER,58000.B
5,Start agitator.,,,58000.B
6,Add Versene 100,,030019,58000.B
7,Add Glycol Ether DB,,031031,58000.B
8,Add Kolb 91-8,,031013,58000.B
9,AddCocunut Fragrance,,030003,58000.B
10,Add Chromatech Liquidtint Orange Dye,,500321,58000.B
11,Agitate for 15 minutes.,,,58000.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,58000.B
13,Ensure that any agitators used have been turned off.,,,58000.B
14,Remove GHS labels from the mix vessel.,,,58000.B
1,Gather the required materials.,,,58100.B
2,Verify that the vessel is clean. ,,,58100.B
3,Apply GHS labels to the mix vessel.,,,58100.B
4,Charge vessel with water.,,WATER,58100.B
5,Start agitator.,,,58100.B
6,Add Rhodia Infinity,,100512,58100.B
7,Agitate for 5 minutes.,,,58100.B
8,Add Rhodia IRIS,,100513,58100.B
9,Add Glycol Ether EB,,030012,58100.B
10,Add Orange Enhancer Fragrance,,030124,58100.B
11,Agitate for 15 minutes.,,,58100.B
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,58100.B
13,Ensure that any agitators used have been turned off.,,,58100.B
14,Remove GHS labels from the mix vessel.,,,58100.B
1,Gather the required materials.,,,58200.B
2,Verify that the vessel is clean. ,,,58200.B
3,Apply GHS labels to the mix vessel.,,,58200.B
4,Charge vessel with DI water.,,030143,58200.B
5,Ensure that the DI water pump is turned off.,,,58200.B
6,Add Thetapel AM 5010 SLOWLY,,031038,58200.B
7,Add Busan 1264,,030146,58200.B
8,Start agitator or mix with paddle at LOW SPEED.,,,58200.B
9,Agitate for 15 minutes.,,,58200.B
10,Sample blend; label sample container; and deliver sample to QC Lab.,,,58200.B
11,Ensure that any agitators used have been turned off.,,,58200.B
12,Remove GHS labels from the mix vessel.,,,58200.B
1,Gather the required materials.,,,601008
2,Verify that vessel is clean. ,,,601008
3,Apply GHS label to the mix vessel.,,,601008
4,Charge vessel with EG.,,601015,601008
5,Start agitator.,,,601008
6,Add DI Water,,030143,601008
7,Agitate for 5 minutes. ,,,601008
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,601008
9,Ensure that any agitators used have been turned off.,,,601008
10,Apply GHS label to the mix vessel.,,,601008
1,Gather the required materials.,,,601009GOLD.B
2,Verify that vessel is clean. ,,,601009GOLD.B
3,Apply GHS label to the mix vessel.,,,601009GOLD.B
4,Charge vessel with EG.,,601015,601009GOLD.B
5,Start agitator.,,,601009GOLD.B
6,Add MetalGuard A 81 at 1 gallon per minute,,050015,601009GOLD.B
7,Add DI Water,,030143,601009GOLD.B
8,Add phosphoric acid,,240079,601009GOLD.B
9,Using black wire locks; re-seal phosphoric acid tote.,,,601009GOLD.B
10,Agitate for 10 minutes,,,601009GOLD.B
11,Add Liquidtint Yellow AF,,030122,601009GOLD.B
12,Add Bitrex Solution,,100511,601009GOLD.B
13,Agitate for 5 minutes,,,601009GOLD.B
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,601009GOLD.B
15,Ensure that any agitators used have been turned off.,,,601009GOLD.B
16,Remove GHS label from the mix vessel.,,,601009GOLD.B
1,Gather the required materials.,,,601009
2,Verify that vessel is clean. ,,,601009
3,Apply GHS label to the mix vessel.,,,601009
4,Charge vessel with EG.,,601015,601009
5,Start agitator.,,,601009
6,Add MetalGuard A 81 at 1 gallon per minute,,050015,601009
7,Add DI Water,,030143,601009
8,Ensure that the DI water pump is turned off.,,,601009
9,Add phosphoric acid,,240079,601009
10,Using black wire locks; re-seal phosphoric acid tote.,,,601009
11,Agitate for 10 minutes,,,601009
12,Add Chromatint Green 0218 dye,,240011,601009
13,Add Uranine C,,240087,601009
14,Add Bitrex Solution,,100511,601009
15,Agitate for 5 minutes,,,601009
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,601009
17,Ensure that any agitators used have been turned off.,,,601009
18,Remove GHS label from the mix vessel.,,,601009
1,Gather the required materials.,,,601011DIL
2,Verify that vessel is clean. ,,,601011DIL
3,Apply GHS label to the mix vessel.,,,601011DIL
4,Charge vessel with EG.,,601015,601011DIL
5,Start agitator.,,,601011DIL
6,Add MetalGuard A 65 slowly,,602021,601011DIL
7,Add DI Water,,030143,601011DIL
8,Ensure that the DI water pump is turned off.,,,601011DIL
9,Add Bitrex Solution,,100511,601011DIL
10,Add Chromatint Orange 1073 liquid dye,,100460,601011DIL
11,Add phosphoric acid,,240079,601011DIL
12,Using black wire locks; re-seal phosphoric acid tote.,,,601011DIL
13,Agitate for 5 minutes,,,601011DIL
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,601011DIL
15,Ensure that any agitators used have been turned off.,,,601011DIL
16,Remove GHS label from the mix vessel.,,,601011DIL
1,Gather the required materials.,,,601011
2,Verify that vessel is clean. ,,,601011
3,Apply GHS label to the mix vessel.,,,601011
4,Charge vessel with EG.,,601015,601011
5,Start agitator.,,,601011
6,Add MetalGuard A 65 slowly,,602021,601011
7,Add Bitrex Solution,,100511,601011
8,Add Chromatint Orange 1073 liquid dye,,100460,601011
9,Add phosphoric acid,,240079,601011
10,Using black wire locks; re-seal phosphoric acid tote.,,,601011
11,Agitate for 5 minutes,,,601011
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,601011
13,Ensure that any agitators used have been turned off.,,,601011
14,Remove GHS label from the mix vessel.,,,601011
1,Gather the required materials.,,,601013PA
2,Verify that vessel is clean. ,,,601013PA
3,Apply GHS label to the mix vessel.,,,601013PA
4,Charge vessel with EG.,gal,601015,601013PA
5,Start agitator.,,,601013PA
6,Add MetalGuard A 81 at 1 gallon per minute,gal,050015,601013PA
7,Agitate for 10 minutes.,,,601013PA
8,Add Blend - Quarantined EGAF - Q601013PA,gal,Q601013PA,601013PA
9,Add Uranine C,grams,240087,601013PA
10,Add phosphoric acid,gal,240079,601013PA
11,Using black wire locks; re-seal phosphoric acid tote.,,,601013PA
12,Take sample to lab for pH testing. ,,,601013PA
13,Verify that pH is below 10.0,,,601013PA
14,Add Bitrex Solution,lbs,100511,601013PA
15,Agitate for 5 minutes,,,601013PA
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,601013PA
17,Ensure that any agitators used have been turned off.,,,601013PA
18,Remove GHS label from the mix vessel.,,,601013PA
1,Gather the required materials.,,,601013PACLR
2,Verify that vessel is clean. ,,,601013PACLR
3,Apply GHS label to the mix vessel.,,,601013PACLR
4,Charge vessel with EG.,,601015,601013PACLR
5,Start agitator.,,,601013PACLR
6,Add MetalGuard A 81 at 1 gallon per minute,,050015,601013PACLR
7,Agitate for 10 minutes.,,,601013PACLR
8,Add phosphoric acid,,240079,601013PACLR
9,Using black wire locks; re-seal phosphoric acid tote.,,,601013PACLR
10,Take sample to lab for pH testing. ,,,601013PACLR
11,Verify that pH is below 10.0,,,601013PACLR
12,Add Bitrex Solution,,100511,601013PACLR
13,Agitate for 5 minutes,,,601013PACLR
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,601013PACLR
15,Ensure that any agitators used have been turned off.,,,601013PACLR
16,Remove GHS label from the mix vessel.,,,601013PACLR
1,Gather the required materials.,,,601013PA
2,Verify that vessel is clean. ,,,601013PA
3,Apply GHS label to the mix vessel.,,,601013PA
4,Charge vessel with EG.,gal,601015,601013PA
5,Start agitator.,,,601013PA
6,Add MetalGuard A 81 at 1 gallon per minute,gal,050015,601013PA
7,Agitate for 10 minutes.,,,601013PA
8,Add Chromatint Green 0218 dye,lb,240011,601013PA
9,Add Uranine C,grams,240087,601013PA
10,Add phosphoric acid,gal,240079,601013PA
11,Using black wire locks; re-seal phosphoric acid tote.,,,601013PA
12,Take sample to lab for pH testing. ,,,601013PA
13,Verify that pH is below 10.0,,,601013PA
14,Add Bitrex Solution,lbs,100511,601013PA
15,Agitate for 5 minutes,,,601013PA
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,601013PA
17,Ensure that any agitators used have been turned off.,,,601013PA
18,Remove GHS label from the mix vessel.,,,601013PA
1,Gather the required materials.,,,601014
2,Verify that vessel is clean. ,,,601014
3,Apply GHS label to the mix vessel.,,,601014
4,Charge vessel with water.,,WATER,601014
5,Start agitator.,,,601014
6,Add EG antifreeze,,601013,601014
7,Agitate until ingredients are mixed.,,,601014
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,601014
9,Ensure that any agitators used have been turned off.,,,601014
10,Remove GHS label from the mix vessel.,,,601014
1,Gather the required materials.,,,601022
2,Verify that vessel is clean. ,,,601022
3,Apply GHS label to the mix vessel.,,,601022
4,Charge vessel with EG.,,601015,601022
5,Start agitator.,,,601022
6,Add MetalGuard A 81,,050015,601022
7,Add water,,WATER,601022
10,Agitate for 10 minutes.,,,601022
11,Add Chromatint Green 0218 dye,,240011,601022
12,Take sample to lab for pH testing. ,,,601022
13,Verify that pH is below 10.0,,,601022
14,Add Bitrex Solution,,100511,601022
15,Agitate for 5 minutes,,,601022
14,Sample blend; label sample container; and deliver sample to QC Lab.,,,601022
15,Ensure that any agitators used have been turned off.,,,601022
16,Remove GHS label from the mix vessel.,,,601022
1,Gather the required materials.,,,601023
2,Verify that vessel is clean. ,,,601023
3,Apply GHS label to the mix vessel.,,,601023
4,Charge vessel with EG.,,601015,601023
5,Start agitator.,,,601023
6,Add MetalGuard A 81 at 1 gallon per minute,,050015,601023
7,Add water.,,WATER,601023
8,Agitate for 10 minutes.,,,601023
9,Add Chromatint Green 0218 dye,,240011,601023
10,Add Phosphoric Acid then sample to lab for pH,,,601023
11,Using black wire locks; re-seal phosphoric acid tote.,,,601023
12,Take sample to lab for pH testing. ,,240079,601023
13,Verify that pH is below 10.0,,,601023
14,Add Bitrex Solution,,100511,601023
15,Agitate for 5 minutes,,,601023
16,Sample blend; label sample container; and deliver sample to QC Lab.,,,601023
17,Ensure that any agitators used have been turned off.,,,601023
18,Remove GHS label from the mix vessel.,,,601023
1,Gather the required materials.,,,602000
2,Verify that the vessel is clean. ,,,602000
3,Charge vessel with water.,gal,WATER,602000
4,Start agitator.,,,602000
5,Add GL47,lbs,031035,602000
6,Agitate for 10 minutes,,,602000
7,Add Ammonium Chloride,lbs,030007,602000
8,Agitate for 10 minutes,,,602000
10,Add Dye-Turquoise 8GL,GRAMS,030009,602000
